TimePeriod,Country,Sex,NumberOfDeaths,NumberOfDeathsQF,NumberOfPatients,NumberOfPatientsQF,CrudeRate
2016Q3,S92000003,Male,3201,,107516,,2.977231295807136
2016Q3,S92000003,Female,2958,,121743,,2.429708484266036
2016Q4,S92000003,Male,3555,,108984,,3.2619467077736184
2016Q4,S92000003,Female,3558,,122252,,2.9103818342440206
2017Q1,S92000003,Male,3559,,108721,,3.2735166159251663
2017Q1,S92000003,Female,3591,,122613,,2.928726970223386
2017Q2,S92000003,Male,3156,,107436,,2.9375628281023123
2017Q2,S92000003,Female,3210,,119823,,2.678951453393756
2017Q3,S92000003,Male,3156,,106578,,2.961211507065248
2017Q3,S92000003,Female,3088,,118764,,2.6001145128153316
2017Q4,S92000003,Male,3821,,109476,,3.4902627059812197
2017Q4,S92000003,Female,3846,,122265,,3.1456263035210403
2018Q1,S92000003,Male,3719,,106635,,3.4875978806208097
2018Q1,S92000003,Female,3847,,119762,,3.212204205006596
2018Q2,S92000003,Male,3041,,108890,,2.792726604830563
2018Q2,S92000003,Female,3038,,121300,,2.5045342126957957
2018Q3,S92000003,Male,3154,,105583,,2.9872233219362965
2018Q3,S92000003,Female,2924,,118256,,2.47260181301583
2018Q4,S92000003,Male,3445,,109725,,3.139667350193666
2018Q4,S92000003,Female,3451,,121781,,2.8337753836805413
2019Q1,S92000003,Male,3467,,111823,,3.1004355096894196
2019Q1,S92000003,Female,3368,,124330,,2.7089198101825787
2019Q2,S92000003,Male,3130,,111311,,2.8119413175696923
2019Q2,S92000003,Female,3199,,122754,,2.6060250582465745
2019Q3,S92000003,Male,3247,,111468,,2.912943625076255
2019Q3,S92000003,Female,3111,,124011,,2.5086484263492754
2019Q4,S92000003,Male,3703,,113764,,3.2549840019689884
2019Q4,S92000003,Female,3647,,126154,,2.8909111086449895
2020Q1,S92000003,Male,3760,,102801,,3.6575519693388197
2020Q1,S92000003,Female,3514,,114569,,3.067147308608786
2020Q2,S92000003,Male,3434,,58559,,5.864171177786505
2020Q2,S92000003,Female,3015,,61815,,4.8774569279301145
2020Q3,S92000003,Male,3106,,82343,,3.772026766088192
2020Q3,S92000003,Female,2928,,88854,,3.2952934026605445
2020Q4,S92000003,Male,4155,,86133,,4.823935077148132
2020Q4,S92000003,Female,3717,,93902,,3.9583821430853443
2021Q1,S92000003,Male,3814,,81281,,4.692363528992016
2021Q1,S92000003,Female,3528,,88516,,3.985720095801889
2021Q2,S92000003,Male,3214,,95107,,3.3793516775841947
2021Q2,S92000003,Female,3079,,104658,,2.941963347283533
